customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TenureGroup
CUST00001,Male,0,No,No,42,Yes,Fiber optic,One year,Electronic check,75.18,3113.56,Yes,25-48 Months
CUST00002,Female,0,No,No,71,Yes,No,Two year,Credit card,37.9,2678.2,No,49-72 Months
CUST00003,Male,0,Yes,Yes,71,Yes,No,Month-to-month,Bank transfer,47.43,3379.39,No,49-72 Months
CUST00004,Male,0,Yes,No,41,Yes,Fiber optic,Month-to-month,Credit card,86.65,3626.55,Yes,25-48 Months
CUST00005,Male,0,Yes,No,25,Yes,Fiber optic,One year,Bank transfer,67.31,1677.38,No,25-48 Months
CUST00006,Female,0,No,No,22,Yes,No,Month-to-month,Credit card,32.67,485.59,No,13-24 Months
CUST00007,Male,0,No,No,42,Yes,Fiber optic,One year,Electronic check,82.85,3427.29,Yes,25-48 Months
CUST00008,Male,0,Yes,Yes,27,Yes,DSL,Two year,Mailed check,64.42,1739.52,No,25-48 Months
CUST00009,Male,0,Yes,No,8,Yes,No,Month-to-month,Bank transfer,32.98,420.34,No,0-12 Months
CUST00010,Female,0,Yes,Yes,19,Yes,Fiber optic,One year,Bank transfer,74.88,1328.41,Yes,13-24 Months
CUST00011,Male,0,No,No,55,Yes,DSL,Month-to-month,Bank transfer,60.54,3133.47,Yes,49-72 Months
CUST00012,Male,0,No,Yes,38,Yes,Fiber optic,Month-to-month,Electronic check,71.3,2717.13,Yes,25-48 Months
CUST00013,Male,0,Yes,No,50,Yes,No,Two year,Electronic check,43.8,2293.95,Yes,49-72 Months
CUST00014,Male,0,Yes,No,11,No,Fiber optic,Two year,Credit card,79.95,832.24,No,0-12 Months
CUST00015,Female,1,Yes,No,54,Yes,Fiber optic,Month-to-month,Mailed check,83.16,4776.61,No,49-72 Months
CUST00016,Male,1,No,No,10,Yes,Fiber optic,Two year,Electronic check,78.14,1039.1,No,0-12 Months
CUST00017,Female,0,Yes,No,25,Yes,Fiber optic,Month-to-month,Credit card,87.53,2179.55,Yes,25-48 Months
CUST00018,Female,0,No,No,41,Yes,Fiber optic,Month-to-month,Credit card,86.18,3555.79,No,25-48 Months
CUST00019,Female,0,No,Yes,26,Yes,Fiber optic,Month-to-month,Electronic check,77.8,2187.05,Yes,25-48 Months
CUST00020,Male,0,Yes,No,10,Yes,Fiber optic,Two year,Credit card,79.62,785.42,No,0-12 Months
CUST00021,Female,0,Yes,Yes,37,Yes,Fiber optic,Month-to-month,Credit card,75.12,2682.95,Yes,25-48 Months
CUST00022,Male,0,Yes,No,42,Yes,Fiber optic,One year,Credit card,81.32,3522.11,No,25-48 Months
CUST00023,Female,0,No,No,18,Yes,Fiber optic,One year,Credit card,82.39,1538.75,No,13-24 Months
CUST00024,Female,0,No,No,63,Yes,No,One year,Mailed check,28.76,1715.0,No,49-72 Months
CUST00025,Female,0,No,Yes,5,Yes,DSL,Month-to-month,Mailed check,51.4,290.5,Yes,0-12 Months
